major,course
Database Administration,Data Structures and Algorithms
Database Administration,Web Programming
Web Development,Web Programming
Web Development,JavaScript
Web Development,Frontend Development
Computer Programming,Data Structures and Algorithms
Computer Programming,Object-Oriented Programming
Computer Programming,Python
Computer Programming,Java
Computer Programming,C++
Data Science,Machine Learning
Data Science,Data Structures and Algorithms
Data Science,Python
Game Design,C++
Game Design,Object-Oriented Programming
System Administration,Networking
System Administration,Linux
